"longitude","latitude","GST"
"25.0","37.0","19.468577067057314"
"35.0","49.0","7.429295857747419"
"27.0","47.0","8.28398132324221"
"0.0","46.0","11.928061930338565"
"16.0","46.0","10.216084798177105"
"1.0","45.0","12.037201944987002"
"17.0","44.0","6.7143320719401265"
"20.0","29.0","23.414959716796897"
"38.0","29.0","20.74209391276044"
"-6.0","35.0","19.093879191080752"
"10.0","33.0","20.725320434570335"
"-4.0","42.0","10.28526306152346"
"10.0","40.0","19.060792032877625"
"27.0","40.0","13.710552978515647"
"34.0","37.0","10.195910644531272"
"-1.0","51.0","10.307770792643252"
"3.0","50.0","10.102710978190126"
"15.0","50.0","8.836738077799502"
"23.0","48.0","9.207459513346377"
"-12.0","47.0","14.462408447265648"
"10.0","47.0","0.16725362141929356"
"12.0","46.0","8.210742187500022"
"31.0","46.0","12.945774332682314"
"-6.0","30.0","22.355840047200545"
"-12.0","29.0","21.00159606933596"
"27.0","33.0","22.542247517903668"
"37.0","33.0","19.571483357747418"
"-11.0","31.0","20.34623921712242"
"-2.0","31.0","21.55263366699221"
"25.0","31.0","21.57888895670575"
"18.0","42.0","19.347314453125023"
"8.0","41.0","19.102467854817732"
"37.0","40.0","7.8894917805989815"
"-11.0","37.0","18.749234008789085"
"-2.0","37.0","19.18547261555992"
"9.0","37.0","19.166623942057313"
"13.0","37.0","21.194549560546896"
"33.0","37.0","10.049424235026065"
"1.0","52.0","10.501917521158877"
"17.0","51.0","9.003583780924503"
"-10.0","48.0","13.828956095377627"
"-1.0","44.0","13.980676269531273"
"15.0","43.0","18.10456746419273"
"33.0","31.0","22.85110982259117"
"5.0","30.0","23.223763020833356"
"26.0","30.0","21.859948730468773"
"9.0","31.0","22.2647888183594"
"7.0","35.0","15.818369547526064"
"36.0","35.0","20.141526285807313"
"-8.0","33.0","20.059033203125022"
"-3.0","42.0","8.566162109375023"
"23.0","41.0","13.297725423177106"
"24.0","39.0","18.16891784667971"
"28.0","38.0","14.98612976074221"
"15.0","36.0","21.699846394856795"
"6.0","52.0","10.03762410481773"
"7.0","51.0","9.74523824055992"
"37.0","51.0","5.0537892659505435"
"28.0","49.0","6.992403157552106"
"11.0","47.0","-0.1556111653645606"
"29.0","47.0","9.134047444661482"
"34.0","46.0","10.596012369791689"
"37.0","44.0","14.232504272460961"
"2.0","33.0","18.828443400065126"
"-13.0","40.0","17.407481892903668"
"11.0","40.0","19.741048177083357"
"5.0","39.0","19.960700480143252"
"-5.0","38.0","16.8540222167969"
"-12.0","37.0","18.685185750325545"
"0.0","36.0","20.2833201090495"
"15.0","29.0","22.91167399088544"
"13.0","46.0","11.411396280924501"
"-7.0","45.0","15.405866495768253"
"10.0","44.0","15.189907836914085"
"16.0","43.0","18.539155069987"
"9.0","41.0","17.543613688151066"
"25.0","41.0","13.38091939290367"
"33.0","41.0","7.738360595703147"
"6.0","38.0","20.325864664713563"
"30.0","38.0","12.292516072591168"
"38.0","37.0","17.100591023763045"
"16.0","36.0","21.92176717122398"
"17.0","34.0","22.970573933919294"
"33.0","34.0","23.19272359212242"
"35.0","32.0","22.149512736002627"
"27.0","31.0","21.220142618815128"
"1.0","30.0","22.150576782226587"
"21.0","33.0","23.084789021809918"
"19.0","51.0","8.15165710449221"
"27.0","51.0","6.937866210937523"
"9.0","48.0","7.480906168619814"
"25.0","48.0","4.037727864583356"
"33.0","48.0","8.12372741699221"
"2.0","47.0","11.127809651692731"
"-2.0","46.0","14.798840332031272"
"18.0","46.0","11.102421061197939"
"35.0","46.0","10.752442423502627"
"6.0","45.0","3.06553649902346"
"-8.0","44.0","15.46538289388023"
"19.0","44.0","8.67796325683596"
"11.0","33.0","22.509002685546896"
"28.0","42.0","15.487012736002628"
"2.0","40.0","19.448493448893252"
"-4.0","39.0","13.709931437174502"
"26.0","39.0","18.389407348632837"
"9.0","34.0","21.384045410156272"
"-13.0","33.0","20.287555948893253"
"-9.0","33.0","20.28549499511721"
"26.0","32.0","23.135551961263044"
"-12.0","31.0","20.927337646484396"
"14.0","31.0","22.80161031087242"
"29.0","33.0","22.40018717447919"
"-7.0","52.0","11.401777140299503"
"-8.0","51.0","12.35830993652346"
"10.0","51.0","8.511855061848982"
"-11.0","48.0","13.847471110026065"
"-13.0","47.0","14.373238118489606"
"-3.0","46.0","14.94115397135419"
"7.0","44.0","7.2436381022135645"
"27.0","44.0","11.538551839192731"
"20.0","42.0","10.44137878417971"
"29.0","40.0","12.21286315917971"
"-7.0","38.0","16.2290222167969"
"14.0","37.0","20.23264872233075"
"1.0","35.0","15.238772583007835"
"3.0","29.0","23.034880574544292"
"-4.0","32.0","17.786756388346376"
"13.0","52.0","10.247193400065127"
"33.0","52.0","5.313171386718773"
"34.0","52.0","5.100783284505231"
"-6.0","50.0","12.774061075846378"
"23.0","49.0","5.628429158528669"
"20.0","48.0","9.238887532552106"
"13.0","45.0","16.6044372558594"
"15.0","44.0","17.127542114257835"
"26.0","43.0","9.746612548828148"
"-7.0","42.0","9.293836466471378"
"-12.0","41.0","16.9610046386719"
"38.0","41.0","15.37438863118492"
"-5.0","37.0","16.758772786458355"
"3.0","37.0","20.59891764322919"
"26.0","36.0","20.55901794433596"
"-10.0","35.0","19.72227274576825"
"0.0","35.0","16.62749430338544"
"23.0","35.0","21.59707234700523"
"1.0","32.0","20.12661844889325"
"5.0","50.0","8.857749430338565"
"7.0","50.0","8.37334899902346"
"19.0","50.0","8.02190144856773"
"-7.0","49.0","13.388093058268252"
"14.0","48.0","7.66125895182294"
"24.0","47.0","7.914068603515648"
"2.0","44.0","11.068742879231793"
"36.0","43.0","15.37605387369794"
"-9.0","39.0","16.270618693033878"
"1.0","39.0","20.019195556640646"
"9.0","38.0","20.483481852213565"
"25.0","38.0","19.126494344075542"
"31.0","35.0","22.52197875976565"
"14.0","34.0","23.012317911783878"
"22.0","31.0","22.253576660156273"
